il;ilçe;semt_bucak_belde;Mahalle;PK
ADANA;ALADAG;ALADAG;AKPINAR MAH;1720
ADANA;ALADAG;ALADAG;BASPINAR MAH;1720
ADANA;ALADAG;ALADAG;MANSURLU MAH;1720
ADANA;ALADAG;ALADAG;SINANPASA MAH;1720
ADANA;ALADAG;MADENLI;AKOREN MAH;1722
ADANA;ALADAG;MADENLI;BOZTAHTA MAH;1722
ADANA;ALADAG;MADENLI;BUYUKSOFULU MAH;1722
ADANA;ALADAG;MADENLI;CERITLER MAH;1722
ADANA;ALADAG;MADENLI;DAILER MAH;1722
ADANA;ALADAG;MADENLI;DARILIK MAH;1722
ADANA;ALADAG;MADENLI;DOLEKLI MAH;1722
ADANA;ALADAG;MADENLI;EBRISIM MAH;1722
ADANA;ALADAG;MADENLI;EGNER MAH;1722
ADANA;ALADAG;MADENLI;GERDIBI MAH;1722
ADANA;ALADAG;MADENLI;GIREGIYENIKOY MAH;1722
ADANA;ALADAG;MADENLI;GOKCEKOY MAH;1722
ADANA;ALADAG;MADENLI;KABASAKAL MAH;1722
ADANA;ALADAG;MADENLI;KARAHAN MAH;1722
ADANA;ALADAG;MADENLI;KICAK MAH;1722
ADANA;ALADAG;MADENLI;KISLAK MAH;1722
ADANA;ALADAG;MADENLI;KIZILDAM MAH;1722
ADANA;ALADAG;MADENLI;KOKEZ MAH;1722
ADANA;ALADAG;MADENLI;KOPRUCUK MAH;1722
ADANA;ALADAG;MADENLI;KUP MAH;1722
ADANA;ALADAG;MADENLI;MADENLI MAH;1722
ADANA;ALADAG;MADENLI;MAZILIK MAH;1722
ADANA;ALADAG;MADENLI;POSYAGBASAN MAH;1722
ADANA;ALADAG;MADENLI;TOPALLI MAH;1722
ADANA;ALADAG;MADENLI;UZUNKUYU MAH;1722
ADANA;ALADAG;MADENLI;YETIMLI MAH;1722
ADANA;ALADAG;MADENLI;YUKSEKOREN MAH;1722
ADANA;CEYHAN;BUYUKMANGIT;ADAPINAR MAH;1922
ADANA;CEYHAN;BUYUKMANGIT;ADATEPE MAH;1922
ADANA;CEYHAN;BUYUKMANGIT;AGACLI MAH;1922
ADANA;CEYHAN;BUYUKMANGIT;AGACPINAR MAH;1922
ADANA;CEYHAN;BUYUKMANGIT;AKDAM MAH;1922
ADANA;CEYHAN;BUYUKMANGIT;ALTIGOZBEKIRLI MAH;1922
ADANA;CEYHAN;BUYUKMANGIT;ALTIKARA MAH;1922
ADANA;CEYHAN;BUYUKMANGIT;AYDINLAR MAH;1922
ADANA;CEYHAN;BUYUKMANGIT;AZIZLI MAH;1922
ADANA;CEYHAN;BUYUKMANGIT;BASOREN MAH;1922
ADANA;CEYHAN;BUYUKMANGIT;BIRKENT MAH;1922
ADANA;CEYHAN;BUYUKMANGIT;BURHANLI MAH;1922
ADANA;CEYHAN;BUYUKMANGIT;BUYUKBURHANIYE MAH;1922
ADANA;CEYHAN;BUYUKMANGIT;BUYUKMANGIT MAH;1922
ADANA;CEYHAN;BUYUKMANGIT;CAMUZAGILI MAH;1922
ADANA;CEYHAN;BUYUKMANGIT;CEYHANBEKIRLI MAH;1922
ADANA;CEYHAN;BUYUKMANGIT;CAKALDERE MAH;1922
ADANA;CEYHAN;BUYUKMANGIT;CATAKLI MAH;1922
ADANA;CEYHAN;BUYUKMANGIT;CATALHUYUK MAH;1922
ADANA;CEYHAN;BUYUKMANGIT;CEVRETEPE MAH;1922
ADANA;CEYHAN;BUYUKMANGIT;CICEKLI MAH;1922
ADANA;CEYHAN;BUYUKMANGIT;CIFTLIKLER MAH;1922
ADANA;CEYHAN;BUYUKMANGIT;COKCAPINAR MAH;1922
ADANA;CEYHAN;BUYUKMANGIT;DAGISTAN MAH;1922
ADANA;CEYHAN;BUYUKMANGIT;DEGIRMENDERE MAH;1922
ADANA;CEYHAN;BUYUKMANGIT;DEGIRMENLI MAH;1922
ADANA;CEYHAN;BUYUKMANGIT;DIKILITAS MAH;1922
ADANA;CEYHAN;BUYUKMANGIT;DOKUZTEKNE MAH;1922
ADANA;CEYHAN;BUYUKMANGIT;DORUK MAH;1922
ADANA;CEYHAN;BUYUKMANGIT;DURHASANDEDE MAH;1922
ADANA;CEYHAN;BUYUKMANGIT;DUTLUPINAR MAH;1922
ADANA;CEYHAN;BUYUKMANGIT;EKINYAZI MAH;1922
ADANA;CEYHAN;BUYUKMANGIT;ELMAGOLU MAH;1922
ADANA;CEYHAN;BUYUKMANGIT;ERENLER MAH;1922
ADANA;CEYHAN;BUYUKMANGIT;GUMURDULU MAH;1922
ADANA;CEYHAN;BUYUKMANGIT;GUNDOGAN MAH;1922
ADANA;CEYHAN;BUYUKMANGIT;GUNLUCE MAH;1922
ADANA;CEYHAN;BUYUKMANGIT;HAMDILLI MAH;1922
ADANA;CEYHAN;BUYUKMANGIT;HAMIDIYE MAH;1922
ADANA;CEYHAN;BUYUKMANGIT;HAMITBEY MAH;1922
ADANA;CEYHAN;BUYUKMANGIT;HAMITBEYBUCAGI MAH;1922
ADANA;CEYHAN;BUYUKMANGIT;IRMAKLI MAH;1922
ADANA;CEYHAN;BUYUKMANGIT;ISIRGANLI MAH;1922
ADANA;CEYHAN;BUYUKMANGIT;IMRAN MAH;1922
ADANA;CEYHAN;BUYUKMANGIT;INCEYER MAH;1922
ADANA;CEYHAN;BUYUKMANGIT;ISALI MAH;1922
ADANA;CEYHAN;BUYUKMANGIT;KARAKAYALI MAH;1922
ADANA;CEYHAN;BUYUKMANGIT;KILICKAYA MAH;1922
ADANA;CEYHAN;BUYUKMANGIT;KIVRIKLI MAH;1922
ADANA;CEYHAN;BUYUKMANGIT;KIZILDERE MAH;1922
ADANA;CEYHAN;BUYUKMANGIT;KOPRULU MAH;1922
ADANA;CEYHAN;BUYUKMANGIT;KORKUYU MAH;1922
ADANA;CEYHAN;BUYUKMANGIT;KOSRELI MAH;1922
ADANA;CEYHAN;BUYUKMANGIT;KURTKULAGI MAH;1922
ADANA;CEYHAN;BUYUKMANGIT;KURTPINAR MAH;1922
ADANA;CEYHAN;BUYUKMANGIT;KUZUCAK MAH;1922
ADANA;CEYHAN;BUYUKMANGIT;KUCUKBURHANIYE MAH;1922
ADANA;CEYHAN;BUYUKMANGIT;KUCUKMANGIT MAH;1922
ADANA;CEYHAN;BUYUKMANGIT;MERCIMEK MAH;1922
ADANA;CEYHAN;BUYUKMANGIT;MERCIN MAH;1922
ADANA;CEYHAN;BUYUKMANGIT;NARLIK MAH;1922
ADANA;CEYHAN;BUYUKMANGIT;NAZIMBEY YENIKOY MAH;1922
ADANA;CEYHAN;BUYUKMANGIT;SAGIRLAR MAH;1922
ADANA;CEYHAN;BUYUKMANGIT;SAGKAYA MAH;1922
ADANA;CEYHAN;BUYUKMANGIT;SARIBAHCE MAH;1922
ADANA;CEYHAN;BUYUKMANGIT;SARIMAZI MAH;1922
ADANA;CEYHAN;BUYUKMANGIT;SARIMAZI SB MAH;1922
ADANA;CEYHAN;BUYUKMANGIT;SELIMIYE MAH;1922
ADANA;CEYHAN;BUYUKMANGIT;SIRKELI MAH;1922
ADANA;CEYHAN;BUYUKMANGIT;SOGUKPINAR MAH;1922
ADANA;CEYHAN;BUYUKMANGIT;SOYSALLI MAH;1922
ADANA;CEYHAN;BUYUKMANGIT;TATARLI MAH;1922
ADANA;CEYHAN;BUYUKMANGIT;TATLIKUYU MAH;1922
ADANA;CEYHAN;BUYUKMANGIT;TOKTAMIS MAH;1922
ADANA;CEYHAN;BUYUKMANGIT;TUMLU MAH;1922
ADANA;CEYHAN;BUYUKMANGIT;UCDUTYESILOVA MAH;1922
ADANA;CEYHAN;BUYUKMANGIT;VEYSIYE MAH;1922
ADANA;CEYHAN;BUYUKMANGIT;YALAK MAH;1922
ADANA;CEYHAN;BUYUKMANGIT;YELLIBEL MAH;1922
ADANA;CEYHAN;BUYUKMANGIT;YESILBAHCE MAH;1922
ADANA;CEYHAN;BUYUKMANGIT;YESILDAM MAH;1922
ADANA;CEYHAN;BUYUKMANGIT;YILANKALE MAH;1922
ADANA;CEYHAN;CEYHAN;ALTIOCAK MAH;1920
ADANA;CEYHAN;CEYHAN;ATATURK MAH;1920
ADANA;CEYHAN;CEYHAN;AYDEMIROGLU MAH;1920
ADANA;CEYHAN;CEYHAN;BELEDIYE EVLERI MAH;1920
ADANA;CEYHAN;CEYHAN;BOTA MAH;1920
ADANA;CEYHAN;CEYHAN;BURHANIYE MAH;1920
ADANA;CEYHAN;CEYHAN;BUYUKKIRIM MAH;1920
ADANA;CEYHAN;CEYHAN;CIVANTAYAK MAH;1920
ADANA;CEYHAN;CEYHAN;CUMHURIYET MAH;1920
ADANA;CEYHAN;CEYHAN;EMEK MAH;1920
ADANA;CEYHAN;CEYHAN;ESENTEPE MAH;1920
ADANA;CEYHAN;CEYHAN;FATIH SULTAN MEHMET MAH;1920
ADANA;CEYHAN;CEYHAN;GAZI OSMAN PASA MAH;1920
ADANA;CEYHAN;CEYHAN;HURRIYET MAH;1920
ADANA;CEYHAN;CEYHAN;INONU MAH;1920
ADANA;CEYHAN;CEYHAN;ISTIKLAL MAH;1920
ADANA;CEYHAN;CEYHAN;KELEMETI MAH;1920
ADANA;CEYHAN;CEYHAN;KONAKOGLU MAH;1920
ADANA;CEYHAN;CEYHAN;KORUKLU MAH;1920
ADANA;CEYHAN;CEYHAN;KUCUKKIRIM MAH;1920
ADANA;CEYHAN;CEYHAN;MITHAT PASA MAH;1920
ADANA;CEYHAN;CEYHAN;MODERNEVLER MAH;1920
ADANA;CEYHAN;CEYHAN;MURADIYE MAH;1920
ADANA;CEYHAN;CEYHAN;NAMIK KEMAL MAH;1920
ADANA;CEYHAN;CEYHAN;SARISAKAL MAH;1920
ADANA;CEYHAN;CEYHAN;SAHIN OZBILEN MAH;1920
ADANA;CEYHAN;CEYHAN;SEHIT HACI IBRAHIM MAH;1920
ADANA;CEYHAN;CEYHAN;ULUS MAH;1920
ADANA;CEYHAN;CEYHAN;YARSUAT MAH;1920
ADANA;CEYHAN;CEYHAN;ZUBEYDE HANIM MAH;1920
ADANA;CEYHAN;MUSTAFABEYLI;MUSTAFABEYLI MAH;1924
ADANA;CUKUROVA;HUZUREVLERI;BELEDIYE EVLERI MAH;1360
ADANA;CUKUROVA;HUZUREVLERI;HUZUREVLERI MAH;1360
ADANA;CUKUROVA;HUZUREVLERI;YUZUNCUYIL MAH;1360
ADANA;CUKUROVA;MAHFESIGMAZ;BEYAZEVLER MAH;1170
ADANA;CUKUROVA;MAHFESIGMAZ;BOZCALAR MAH;1170
ADANA;CUKUROVA;MAHFESIGMAZ;DORTLER MAH;1170
ADANA;CUKUROVA;MAHFESIGMAZ;ESENTEPE MAH;1170
ADANA;CUKUROVA;MAHFESIGMAZ;FADIL MAH;1170
ADANA;CUKUROVA;MAHFESIGMAZ;GOKKUYU MAH;1170
ADANA;CUKUROVA;MAHFESIGMAZ;GUZELYALI MAH;1170
ADANA;CUKUROVA;MAHFESIGMAZ;KABASAKAL MAH;1170
ADANA;CUKUROVA;MAHFESIGMAZ;KARAHAN MAH;1170
ADANA;CUKUROVA;MAHFESIGMAZ;KARSLILAR MAH;1170
ADANA;CUKUROVA;MAHFESIGMAZ;KASOBA MAH;1170
ADANA;CUKUROVA;MAHFESIGMAZ;KOCATEPE MAH;1170
ADANA;CUKUROVA;MAHFESIGMAZ;KURTTEPE MAH;1170
ADANA;CUKUROVA;MAHFESIGMAZ;KUCUKCINAR MAH;1170
ADANA;CUKUROVA;MAHFESIGMAZ;MAHFESIGMAZ MAH;1170
ADANA;CUKUROVA;MAHFESIGMAZ;MEMISLI MAH;1170
ADANA;CUKUROVA;MAHFESIGMAZ;ORCUN MAH;1170
ADANA;CUKUROVA;MAHFESIGMAZ;PIRILI MAH;1170
ADANA;CUKUROVA;MAHFESIGMAZ;SOGUTLU MAH;1170
ADANA;CUKUROVA;MAHFESIGMAZ;SAMBAYADI MAH;1170
ADANA;CUKUROVA;MAHFESIGMAZ;TOROS MAH;1170
ADANA;CUKUROVA;MAHFESIGMAZ;YENI MAH;1170
ADANA;CUKUROVA;MAHFESIGMAZ;YURT MAH;1170
ADANA;CUKUROVA;SALBAS;SALBAS ESENTEPE MAH;1780
ADANA;FEKE;AKKAYA;AKKAYA MAH;1662
ADANA;FEKE;AKKAYA;AKOLUK MAH;1662
